label,processed_text,word_count,caps_ratio,exclamation_count,punct_ratio
0,another feminist fantasy revenge movie yay,6.0,0.044444444444444446,0.0,0.044444444444444446
0,looking forward,5.0,0.037037037037037035,0.0,0.0
0,girllll bossss another rey skywalker,5.0,0.0,0.0,0.11904761904761904
0,movie need played hr meeting bos manager present,15.0,0.034482758620689655,0.0,0.022988505747126436
0,please watch filled kind evil portal demon get your mind,21.0,0.018691588785046728,0.0,0.037383177570093455
0,irene adler back,4.0,0.1,0.0,0.0
0,look like misery remake desert island,9.0,0.02127659574468085,0.0,0.02127659574468085
0,untill month ready stay,9.0,0.0,0.0,0.025
0,castaway ben shapiro,4.0,0.11538461538461539,0.0,0.0
0,seems lot like triangle sadness,7.0,0.08108108108108109,0.0,0.0
0,fineeeeee,4.0,0.05263157894736842,0.0,0.0
0,you going triangle sadness kindly google admirable crichton,14.0,0.07608695652173914,0.0,0.07608695652173914
0,yeah like girl bos white man bad refreshing brave,13.0,0.10144927536231885,4.0,0.10144927536231885
0,know right wrong,9.0,0.023809523809523808,0.0,0.0
0,fantastic thrilled trailer,9.0,0.0,0.0,0.0
0,swear watch trailer theater completely bored uninterested thinking oh another badly done modern film crappy writing saw sam raimi not kidding audibly said beg your pardon,42.0,0.03292181069958848,0.0,0.04938271604938271
0,king back,4.0,0.047619047619047616,3.0,0.19047619047619047
0,stuck deserted island bos hell,11.0,0.0,0.0,0.0
0,triangle sadness already,7.0,0.022727272727272728,0.0,0.022727272727272728
0,thank you movie maker not casting sweeney,8.0,0.0425531914893617,0.0,0.02127659574468085
0,need another cillian rachel movie,5.0,0.08108108108108109,0.0,0.02702702702702703
0,made celebrity crush look homely hard pas,9.0,0.0,0.0,0.019230769230769232
0,writes garbage,4.0,0.04,0.0,0.04
0,story man useless idiot woman saviour desert island lol literally every instance history disproves would ever case lol woke identity politics fake bullshit woman would cry hysterical not able anything physically mentally incapable saviour situation reality show history biological fact reality established unequivocally watch survivor see woman alone every single time literally every single time,93.0,0.017825311942959002,0.0,0.024955436720142603
0,horrible boss meet misery,4.0,0.1,0.0,0.03333333333333333
0,bit rachel fan give one chance,12.0,0.038461538461538464,0.0,0.019230769230769232
0,cast away meet misery absolutely stoked,8.0,0.0784313725490196,0.0,0.0196078431372549
0,total miscast brien look way young play bos,12.0,0.0,0.0,0.046875
0,dylan rachel omg,4.0,0.19230769230769232,4.0,0.15384615384615385
0,going like movie,7.0,0.029411764705882353,1.0,0.029411764705882353
0,you know definition insanity,7.0,0.024390243902439025,0.0,0.04878048780487805
0,said not romantic comedy,9.0,0.09090909090909091,0.0,0.022727272727272728
0,personal island sound great,6.0,0.02702702702702703,0.0,0.02702702702702703
0,oh boy another girl bos movie fun woman strong need no man lol okay watched whole thing peaked interest horror twist might make alright,34.0,0.04371584699453552,2.0,0.0546448087431694
0,fantasy test woman men deserted island men fine woman almost deleted twice week,24.0,0.016,0.0,0.04
